"Subject" "Activity" "Measurement" "Average"
1 "WALKING" "tBodyAcc.mean.X" 0.28
1 "WALKING" "tBodyAcc.mean.Y" -0.02
1 "WALKING" "tBodyAcc.mean.Z" -0.11
1 "WALKING" "tBodyAcc.std.X" -0.28
1 "WALKING" "tBodyAcc.std.Y" 0.11
1 "WALKING" "tBodyAcc.std.Z" -0.26
1 "WALKING" "tGravityAcc.mean.X" 0.94
1 "WALKING" "tGravityAcc.mean.Y" -0.28
1 "WALKING" "tGravityAcc.mean.Z" -0.07
1 "WALKING" "tGravityAcc.std.X" -0.98
1 "WALKING" "tGravityAcc.std.Y" -0.97
1 "WALKING" "tGravityAcc.std.Z" -0.95
1 "WALKING" "tBodyAccJerk.mean.X" 0.07
1 "WALKING" "tBodyAccJerk.mean.Y" 0.03
1 "WALKING" "tBodyAccJerk.mean.Z" 0
1 "WALKING" "tBodyAccJerk.std.X" -0.11
1 "WALKING" "tBodyAccJerk.std.Y" 0.07
1 "WALKING" "tBodyAccJerk.std.Z" -0.5
1 "WALKING" "tBodyGyro.mean.X" -0.04
1 "WALKING" "tBodyGyro.mean.Y" -0.07
1 "WALKING" "tBodyGyro.mean.Z" 0.08
1 "WALKING" "tBodyGyro.std.X" -0.47
1 "WALKING" "tBodyGyro.std.Y" -0.05
1 "WALKING" "tBodyGyro.std.Z" -0.34
1 "WALKING" "tBodyGyroJerk.mean.X" -0.09
1 "WALKING" "tBodyGyroJerk.mean.Y" -0.04
1 "WALKING" "tBodyGyroJerk.mean.Z" -0.05
1 "WALKING" "tBodyGyroJerk.std.X" -0.21
1 "WALKING" "tBodyGyroJerk.std.Y" -0.3
1 "WALKING" "tBodyGyroJerk.std.Z" -0.4
1 "WALKING" "tBodyAccMag.mean" -0.14
1 "WALKING" "tBodyAccMag.std" -0.22
1 "WALKING" "tGravityAccMag.mean" -0.14
1 "WALKING" "tGravityAccMag.std" -0.22
1 "WALKING" "tBodyAccJerkMag.mean" -0.14
1 "WALKING" "tBodyAccJerkMag.std" -0.07
1 "WALKING" "tBodyGyroMag.mean" -0.16
1 "WALKING" "tBodyGyroMag.std" -0.19
1 "WALKING" "tBodyGyroJerkMag.mean" -0.3
1 "WALKING" "tBodyGyroJerkMag.std" -0.33
1 "WALKING" "fBodyAcc.mean.X" -0.2
1 "WALKING" "fBodyAcc.mean.Y" 0.09
1 "WALKING" "fBodyAcc.mean.Z" -0.33
